date,ticker,money,price,shares,total ,fees,sharpe
2023-01-03,AAPL,1000000.0,124.21629333496094,0,0.0,0.00,
2023-01-03,AMGN,1000000.0,250.92349243164065,0,0.0,0.00,
2023-01-03,AXP,1000000.0,144.50897216796875,0,0.0,0.00,
2023-01-03,BA,1000000.0,195.38999938964844,0,0.0,0.00,
2023-01-03,CAT,1000000.0,233.00831604003903,0,0.0,0.00,
2023-01-03,CRM,1000000.0,134.77999877929688,0,0.0,0.00,
2023-01-03,CSCO,1000000.0,46.155059814453125,0,0.0,0.00,
2023-01-03,CVX,1000000.0,165.60519409179688,0,0.0,0.00,
2023-01-03,DIS,1000000.0,88.68098449707031,0,0.0,0.00,
2023-01-03,GS,1000000.0,333.2226867675781,0,0.0,0.00,
2023-01-03,HD,1000000.0,305.5298767089844,0,0.0,0.00,
2023-01-03,HON,1000000.0,208.5241851806641,0,0.0,0.00,
2023-01-03,IBM,1000000.0,133.6342010498047,0,0.0,0.00,
2023-01-03,INTC,1000000.0,26.04400634765625,0,0.0,0.00,
2023-01-03,JNJ,1000000.0,171.63885498046875,0,0.0,0.00,
2023-01-03,JPM,1000000.0,130.40475463867188,0,0.0,0.00,
2023-01-03,KO,1000000.0,61.024715423583984,0,0.0,0.00,
2023-01-03,MCD,1000000.0,257.0157775878906,0,0.0,0.00,
2023-01-03,MMM,1000000.0,113.60126495361328,0,0.0,0.00,
2023-01-03,MRK,1000000.0,108.1148681640625,0,0.0,0.00,
2023-01-03,MSFT,1000000.0,237.03602600097656,0,0.0,0.00,
2023-01-03,NKE,1000000.0,116.81727600097656,0,0.0,0.00,
2023-01-03,PG,1000000.0,146.8897705078125,0,0.0,0.00,
2023-01-03,TRV,1000000.0,182.0962677001953,0,0.0,0.00,
2023-01-03,UNH,1000000.0,508.9412841796875,0,0.0,0.00,
2023-01-03,V,1000000.0,205.3731231689453,0,0.0,0.00,
2023-01-03,VZ,1000000.0,36.75505828857422,0,0.0,0.00,
2023-01-03,WBA,1000000.0,34.30513000488281,0,0.0,0.00,
2023-01-03,WMT,1000000.0,47.14754104614258,0,0.0,0.00,
2023-01-04,AAPL,769434.662097931,125.49749755859376,100,12549.749755859377,230.34,
2023-01-04,AMGN,769434.662097931,253.5511932373047,0,0.0,230.34,
2023-01-04,AXP,769434.662097931,147.8682861328125,0,0.0,230.34,
2023-01-04,BA,769434.662097931,203.63999938964844,0,0.0,230.34,
2023-01-04,CAT,769434.662097931,235.42735290527344,0,0.0,230.34,
2023-01-04,CRM,769434.662097931,139.58999633789062,0,0.0,230.34,
2023-01-04,CSCO,769434.662097931,46.145355224609375,100,4614.5355224609375,230.34,
2023-01-04,CVX,769434.662097931,163.8443145751953,100,16384.43145751953,230.34,
2023-01-04,DIS,769434.662097931,91.68120574951172,100,9168.120574951172,230.34,
2023-01-04,GS,769434.662097931,334.6471252441406,100,33464.71252441406,230.34,
2023-01-04,HD,769434.662097931,309.2243347167969,100,30922.433471679688,230.34,
2023-01-04,HON,769434.662097931,204.3789978027344,0,0.0,230.34,
2023-01-04,IBM,769434.662097931,134.62550354003906,0,0.0,230.34,
2023-01-04,INTC,769434.662097931,26.96962547302246,100,2696.962547302246,230.34,
2023-01-04,JNJ,769434.662097931,173.50753784179688,100,17350.753784179688,230.34,
2023-01-04,JPM,769434.662097931,131.6208038330078,100,13162.080383300781,230.34,
2023-01-04,KO,769434.662097931,60.99563217163086,0,0.0,230.34,
2023-01-04,MCD,769434.662097931,257.0741882324219,0,0.0,230.34,
2023-01-04,MMM,769434.662097931,116.0871810913086,100,11608.71810913086,230.34,
2023-01-04,MRK,769434.662097931,109.02928161621094,100,10902.928161621094,230.34,
2023-01-04,MSFT,769434.662097931,226.66729736328125,0,0.0,230.34,
2023-01-04,NKE,769434.662097931,119.23722839355467,0,0.0,230.34,
2023-01-04,PG,769434.662097931,147.52940368652344,100,14752.940368652344,230.34,
2023-01-04,TRV,769434.662097931,182.2033233642578,0,0.0,230.34,
2023-01-04,UNH,769434.662097931,495.065673828125,100,49506.5673828125,230.34,
2023-01-04,V,769434.662097931,210.54234313964844,0,0.0,230.34,
2023-01-04,VZ,769434.662097931,37.68035125732422,0,0.0,230.34,
2023-01-04,WBA,769434.662097931,34.58185958862305,100,3458.1859588623047,230.34,
2023-01-04,WMT,769434.662097931,47.20006561279297,0,0.0,230.34,
2023-01-05,AAPL,538660.9989751818,124.1666488647461,200,24833.32977294922,460.88,-11.313387998232555
2023-01-05,AMGN,538660.9989751818,255.9198455810547,0,0.0,460.88,-11.313387998232555
2023-01-05,AXP,538660.9989751818,144.32974243164062,0,0.0,460.88,-11.313387998232555
2023-01-05,BA,538660.9989751818,204.9900054931641,0,0.0,460.88,-11.313387998232555
2023-01-05,CAT,538660.9989751818,234.37388610839844,0,0.0,460.88,-11.313387998232555
2023-01-05,CRM,538660.9989751818,136.33999633789062,0,0.0,460.88,-11.313387998232555
2023-01-05,CSCO,538660.9989751818,45.49515151977539,200,9099.030303955078,460.88,-11.313387998232555
2023-01-05,CVX,538660.9989751818,166.79495239257812,200,33358.990478515625,460.88,-11.313387998232555
2023-01-05,DIS,538660.9989751818,91.62139129638672,200,18324.278259277344,460.88,-11.313387998232555
2023-01-05,GS,538660.9989751818,330.85498046875,200,66170.99609375,460.88,-11.313387998232555
2023-01-05,HD,538660.9989751818,305.10430908203125,200,61020.86181640625,460.88,-11.313387998232555
2023-01-05,HON,538660.9989751818,198.95912170410156,0,0.0,460.88,-11.313387998232555
2023-01-05,IBM,538660.9989751818,133.21881103515625,0,0.0,460.88,-11.313387998232555
2023-01-05,INTC,538660.9989751818,26.852705001831055,200,5370.541000366211,460.88,-11.313387998232555
2023-01-05,JNJ,538660.9989751818,172.22642517089844,200,34445.28503417969,460.88,-11.313387998232555
2023-01-05,JPM,538660.9989751818,131.5916290283203,200,26318.325805664062,460.88,-11.313387998232555
2023-01-05,KO,538660.9989751818,60.29765319824219,0,0.0,460.88,-11.313387998232555
2023-01-05,MCD,538660.9989751818,254.9058532714844,0,0.0,460.88,-11.313387998232555
2023-01-05,MMM,538660.9989751818,114.05577850341795,200,22811.15570068359,460.88,-11.313387998232555
2023-01-05,MRK,538660.9989751818,110.54681396484376,200,22109.362792968754,460.88,-11.313387998232555
2023-01-05,MSFT,538660.9989751818,219.94937133789065,0,0.0,460.88,-11.313387998232555
2023-01-05,NKE,538660.9989751818,118.65684509277344,0,0.0,460.88,-11.313387998232555
2023-01-05,PG,538660.9989751818,145.69773864746094,200,29139.547729492188,460.88,-11.313387998232555
2023-01-05,TRV,538660.9989751818,182.51470947265625,0,0.0,460.88,-11.313387998232555
2023-01-05,UNH,538660.9989751818,480.7975769042969,200,96159.51538085938,460.88,-11.313387998232555
2023-01-05,V,538660.9989751818,209.0569305419922,0,0.0,460.88,-11.313387998232555
2023-01-05,VZ,538660.9989751818,38.202545166015625,0,0.0,460.88,-11.313387998232555
2023-01-05,WBA,538660.9989751818,32.460269927978516,200,6492.053985595703,460.88,-11.313387998232555
2023-01-05,WMT,538660.9989751818,47.039188385009766,0,0.0,460.88,-11.313387998232555
2023-01-06,AAPL,310606.5352607729,128.7352294921875,300,38620.56884765625,688.70,2.2551349262167326
2023-01-06,AMGN,310606.5352607729,263.91802978515625,0,0.0,688.70,2.2551349262167326
2023-01-06,AXP,310606.5352607729,148.01611328125,0,0.0,688.70,2.2551349262167326
2023-01-06,BA,310606.5352607729,213.0,0,0.0,688.70,2.2551349262167326
2023-01-06,CAT,310606.5352607729,242.7429962158203,0,0.0,688.70,2.2551349262167326
2023-01-06,CRM,310606.5352607729,140.50999450683594,0,0.0,688.70,2.2551349262167326
2023-01-06,CSCO,310606.5352607729,46.89261245727539,300,14067.783737182617,688.70,2.2551349262167326
2023-01-06,CVX,310606.5352607729,168.0513153076172,300,50415.394592285156,688.70,2.2551349262167326
2023-01-06,DIS,310606.5352607729,93.61489868164062,300,28084.469604492188,688.70,2.2551349262167326
2023-01-06,GS,310606.5352607729,335.0128479003906,300,100503.85437011719,688.70,2.2551349262167326
2023-01-06,HD,310606.5352607729,307.09661865234375,300,92128.98559570312,688.70,2.2551349262167326
2023-01-06,HON,310606.5352607729,204.60281372070312,0,0.0,688.70,2.2551349262167326
2023-01-06,IBM,310606.5352607729,135.66397094726562,0,0.0,688.70,2.2551349262167326
2023-01-06,INTC,310606.5352607729,27.9926815032959,300,8397.80445098877,688.70,2.2551349262167326
2023-01-06,JNJ,310606.5352607729,173.6231231689453,300,52086.936950683594,688.70,2.2551349262167326
2023-01-06,JPM,310606.5352607729,134.10971069335938,300,40232.91320800781,688.70,2.2551349262167326
2023-01-06,KO,310606.5352607729,61.46095275878906,0,0.0,688.70,2.2551349262167326
2023-01-06,MCD,310606.5352607729,262.0135803222656,0,0.0,688.70,2.2551349262167326
2023-01-06,MMM,310606.5352607729,117.54349517822266,300,35263.0485534668,688.70,2.2551349262167326
2023-01-06,MRK,310606.5352607729,111.71414947509766,300,33514.2448425293,688.70,2.2551349262167326
2023-01-06,MSFT,310606.5352607729,222.54156494140625,0,0.0,688.70,2.2551349262167326
2023-01-06,NKE,310606.5352607729,122.50318908691406,0,0.0,688.70,2.2551349262167326
2023-01-06,PG,310606.5352607729,149.16720581054688,300,44750.16174316406,688.70,2.2551349262167326
2023-01-06,TRV,310606.5352607729,188.6650390625,0,0.0,688.70,2.2551349262167326
2023-01-06,UNH,310606.5352607729,480.83685302734375,300,144251.05590820312,688.70,2.2551349262167326
2023-01-06,V,310606.5352607729,215.6323699951172,0,0.0,688.70,2.2551349262167326
2023-01-06,VZ,310606.5352607729,38.65144348144531,0,0.0,688.70,2.2551349262167326
2023-01-06,WBA,310606.5352607729,33.770118713378906,300,10131.035614013672,688.70,2.2551349262167326
2023-01-06,WMT,310606.5352607729,48.19160842895508,0,0.0,688.70,2.2551349262167326
2023-01-09,AAPL,79559.6331686022,129.26162719726562,400,51704.65087890625,919.52,0.45062883325466496
2023-01-09,AMGN,79559.6331686022,259.0462341308594,0,0.0,919.52,0.45062883325466496
2023-01-09,AXP,79559.6331686022,148.24281311035156,0,0.0,919.52,0.45062883325466496
2023-01-09,BA,79559.6331686022,208.57000732421875,0,0.0,919.52,0.45062883325466496
2023-01-09,CAT,79559.6331686022,240.5580596923828,0,0.0,919.52,0.45062883325466496
2023-01-09,CRM,79559.6331686022,147.10000610351562,0,0.0,919.52,0.45062883325466496
2023-01-09,CSCO,79559.6331686022,47.14493179321289,400,18857.972717285156,919.52,0.45062883325466496
2023-01-09,CVX,79559.6331686022,166.73782348632812,400,66695.12939453125,919.52,0.45062883325466496
2023-01-09,DIS,79559.6331686022,94.4621353149414,400,37784.85412597656,919.52,0.45062883325466496
2023-01-09,GS,79559.6331686022,339.7481384277344,400,135899.25537109375,919.52,0.45062883325466496
2023-01-09,HD,79559.6331686022,307.3674011230469,400,122946.96044921875,919.52,0.45062883325466496
2023-01-09,HON,79559.6331686022,204.9920196533203,0,0.0,919.52,0.45062883325466496
2023-01-09,IBM,79559.6331686022,135.52236938476562,0,0.0,919.52,0.45062883325466496
2023-01-09,INTC,79559.6331686022,28.55779457092285,400,11423.11782836914,919.52,0.45062883325466496
2023-01-09,JNJ,79559.6331686022,169.12481689453125,400,67649.9267578125,919.52,0.45062883325466496
2023-01-09,JPM,79559.6331686022,133.55552673339844,400,53422.210693359375,919.52,0.45062883325466496
2023-01-09,KO,79559.6331686022,60.69511413574219,0,0.0,919.52,0.45062883325466496
2023-01-09,MCD,79559.6331686022,259.8550109863281,0,0.0,919.52,0.45062883325466496
2023-01-09,MMM,79559.6331686022,117.6084213256836,400,47043.36853027344,919.52,0.45062883325466496
2023-01-09,MRK,79559.6331686022,107.37555694580078,400,42950.22277832031,919.52,0.45062883325466496
2023-01-09,MSFT,79559.6331686022,224.70831298828125,0,0.0,919.52,0.45062883325466496
2023-01-09,NKE,79559.6331686022,122.81800079345705,0,0.0,919.52,0.45062883325466496
2023-01-09,PG,79559.6331686022,147.3452606201172,400,58938.104248046875,919.52,0.45062883325466496
2023-01-09,TRV,79559.6331686022,184.0425567626953,0,0.0,919.52,0.45062883325466496
2023-01-09,UNH,79559.6331686022,480.8957214355469,400,192358.28857421875,919.52,0.45062883325466496
2023-01-09,V,79559.6331686022,216.47409057617188,0,0.0,919.52,0.45062883325466496
2023-01-09,VZ,79559.6331686022,38.49604415893555,0,0.0,919.52,0.45062883325466496
2023-01-09,WBA,79559.6331686022,33.53028869628906,400,13412.115478515625,919.52,0.45062883325466496
2023-01-09,WMT,79559.6331686022,47.59077453613281,0,0.0,919.52,0.45062883325466496
2023-01-10,AAPL,9.93788212416871,129.83766174316406,400.0,51935.064697265625,998.99,2.4860244526241964
2023-01-10,AMGN,9.93788212416871,262.6521301269531,0,0.0,998.99,2.4860244526241964
2023-01-10,AXP,9.93788212416871,149.8198699951172,0,0.0,998.99,2.4860244526241964
2023-01-10,BA,9.93788212416871,206.69000244140625,0,0.0,998.99,2.4860244526241964
2023-01-10,CAT,9.93788212416871,244.3524169921875,0,0.0,998.99,2.4860244526241964
2023-01-10,CRM,9.93788212416871,147.44000244140625,0,0.0,998.99,2.4860244526241964
2023-01-10,CSCO,9.93788212416871,47.368133544921875,500,23684.066772460938,998.99,2.4860244526241964
2023-01-10,CVX,9.93788212416871,167.55638122558594,500,83778.19061279297,998.99,2.4860244526241964
2023-01-10,DIS,9.93788212416871,95.24957275390624,500,47624.78637695312,998.99,2.4860244526241964
2023-01-10,GS,9.93788212416871,343.9444580078125,458.0,157526.56176757812,998.99,2.4860244526241964
2023-01-10,HD,9.93788212416871,310.09478759765625,400.0,124037.9150390625,998.99,2.4860244526241964
2023-01-10,HON,9.93788212416871,205.6439514160156,0,0.0,998.99,2.4860244526241964
2023-01-10,IBM,9.93788212416871,136.7024688720703,0,0.0,998.99,2.4860244526241964
2023-01-10,INTC,9.93788212416871,28.68446159362793,409.0,11731.944791793823,998.99,2.4860244526241964
2023-01-10,JNJ,9.93788212416871,168.72024536132812,500,84360.12268066406,998.99,2.4860244526241964
2023-01-10,JPM,9.93788212416871,134.75137329101562,400.0,53900.54931640625,998.99,2.4860244526241964
2023-01-10,KO,9.93788212416871,60.229793548583984,0,0.0,998.99,2.4860244526241964
2023-01-10,MCD,9.93788212416871,261.46905517578125,0,0.0,998.99,2.4860244526241964
2023-01-10,MMM,9.93788212416871,118.85139465332033,500,59425.69732666016,998.99,2.4860244526241964
2023-01-10,MRK,9.93788212416871,107.7938461303711,400.0,43117.53845214844,998.99,2.4860244526241964
2023-01-10,MSFT,9.93788212416871,226.41995239257812,0,0.0,998.99,2.4860244526241964
2023-01-10,NKE,9.93788212416871,123.7918701171875,0,0.0,998.99,2.4860244526241964
2023-01-10,PG,9.93788212416871,147.19989013671875,400.0,58879.9560546875,998.99,2.4860244526241964
2023-01-10,TRV,9.93788212416871,186.0861968994141,0,0.0,998.99,2.4860244526241964
2023-01-10,UNH,9.93788212416871,476.91168212890625,400.0,190764.6728515625,998.99,2.4860244526241964
2023-01-10,V,9.93788212416871,218.93988037109375,0,0.0,998.99,2.4860244526241964
2023-01-10,VZ,9.93788212416871,39.0357551574707,0,0.0,998.99,2.4860244526241964
2023-01-10,WBA,9.93788212416871,33.85314178466797,400.0,13541.256713867188,998.99,2.4860244526241964
2023-01-10,WMT,9.93788212416871,47.56122970581055,0,0.0,998.99,2.4860244526241964
