date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-10-01,0,100,0,100,0,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,0,0,100,0,0,0,100,0,0
2021-10-04,0,100,0,100,0,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,0,0,100,0,0,0,100,0,0
2021-10-05,0,100,0,100,0,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,0,0,100,0,0,0,100,0,0
2021-10-06,0,41,0,100,0,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,0,0,100,0,0,0,2,0,0
2021-10-07,100,0,0,0,0,-99,1,0,100,8,0,-100,-99,0,0,0,-100,0,100,0,0,0,-100,0,0,100,100,0,1
2021-10-08,100,-97,0,0,0,-99,0,0,100,0,69,-100,-99,0,0,0,-100,1,100,0,0,0,-100,0,0,100,100,0,0
2021-10-11,51,-99,0,0,0,-99,100,0,0,0,100,-100,-99,0,0,0,-100,100,100,0,0,0,-100,0,0,0,2,0,100
2021-10-12,100,-99,0,100,0,-99,100,0,-91,-98,100,-99,-98,0,0,0,-100,100,100,0,0,100,-100,0,0,11,100,0,100
2021-10-13,100,-46,0,33,0,-4,1,0,-99,-99,0,-1,-5,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,0
2021-10-14,100,0,0,59,0,0,0,0,-100,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
2021-10-15,100,0,0,62,0,0,2,0,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
2021-10-18,100,0,0,0,0,0,0,0,-99,-13,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0
2021-10-19,100,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,96,-91,0,0,0,0,0,0,0,0,0,-37
2021-10-20,100,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,38,-99,0,0,0,0,0,0,0,1,0,-36
2021-10-21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-99,0,0,0,0,0,0,0,3,0,-35
2021-10-22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-99,0,0,0,0,0,0,0,0,0,0
2021-10-25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-99,0,0,0,0,0,0,0,3,0,0
2021-10-26,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-99,0,0,0,0,0,0,0,1,0,0
2021-10-27,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-99,0,0,0,0,0,0,0,4,0,0
2021-10-28,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-99,0,0,0,0,0,0,0,4,0,0
2021-10-29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-100,0,0,0,0,0,0,0,1,0,0
2021-11-01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,2,0,0
2021-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
